ID,type_of_food,name_of_food,how_to_prepare,main_ingredients,taste,outstanding_fragrance,current_price,number_of_people_eating
13,MÓN ĂN CHƠI,Bánh hỏi heo quay,"Heo quay da giòn ăn cùng bánh hỏi và rau sống, nước mắm","Heo quay, bánh hỏi, rau sống, nước mắm chua ngọt",Đồ mặn,Heo quay và mắm chua chua ngọt,"189,000",2-3 người
14,MÓN ĂN CHƠI,Xôi chiên chà bông,"Xôi chiên phồng, rắc chà bông","Gạo nếp, chà bông",Đồ béo,"Nếp chiên. hành mỡ, chà bông","150,000",2-3 người
15,MÓN ĂN CHƠI,Bắp giò heo rút xương lên mẹt,"Giò heo rút xương hấp và thái lát, ăn cùng rau sống và mắm nêm","Giò heo, rau và mắm ăn kèm",Đồ mặn,"Bắp giò tươi, mắm nêm thơm","189,000",2-3 người
16,MÓN ĂN CHƠI,Chả cá lên mẹt,"Cá quết nhuyễn, chiên vàng","Cá, thì là, gia vị",Đồ mặn,"Cá chiên, thì là","189,000",2-3 người
17,MÓN ĂN CHƠI,Gân bò xào cần,"Gân bò xào với cần tây, tỏi","Gân bò, cần tây",Đồ mặn,"Gân bò, cần tây","165,000",2-3 người
18,MÓN ĂN CHƠI,Nem nướng lên mẹt,"Nem nướng than hoa, ăn kèm rau","Thịt heo xay, gia vị",Đồ mặn,Thịt nướng,"189,000",2-3 người
19,MÓN ĂN CHƠI,Bò viên nước lèo,Bò viên nấu cùng nước hầm xương,"Bò viên, nước hầm xương",Đồ mặn,"Bò viên, nước hầm xương","150,000",2-3 người
20,MÓN ĂN CHƠI,Bò viên gân chiên,Bò viên gân chiên giòn,Bò viên gân,"Đồ mặn, béo nhẹ",Thịt bò viên chiên,"150,000",2-3 người
21,MÓN ĂN CHƠI,Chả giò tôm đất,"Tôm đất cuốn bánh tráng, chiên vàng","Tôm đất, bánh tráng","Đồ mặn, béo ",Tôm chiên,"150,000",2-3 người
22,MÓN ĂN CHƠI,Ếch chiên nước mắm,"Ếch chiên giòn, sốt nước mắm ","Thịt ếch, nước mắm","Đồ mặn, béo","Ếch tươi, nước mắm","180,000",2-3 người
23,MÓN ĂN CHƠI,Dồi sụn chấm mắm tôm,"Dồi sụn nướng, ăn kèm rau sống và mắm tôm","Thịt heo, sụn, mắm tôm","Đồ mặn, béo","Dồi sụn, mắm tôm","160,000",2-3 người
24,MÓN GỎI,Salad dầu giấm,"Rau củ tươi rửa sạch, cắt nhỏ, trộn đều với nước sốt pha từ dầu ăn, giấm, đường muối và tiêu","Rau xà lách, dưa leo, cà chua, hành tây, dầu ăn, giấm, đường, tiêu.","Đồ chua, ngọt","Giấm chua thanh, tiêu xay, đôi khi có mùi thơm nhẹ từ dầu ô liu.","110,000",2-3 người
25,MÓN GỎI,Bò trộn salad,"Thịt bò áp chảo hoặc luộc tái, cắt lát mỏng, trộn cùng rau xà lách, cà chua, hành tây và sốt dầu giấm.","Thịt bò, xà lách, cà chua, hành tây, dầu giấm",Đồ chua ngọt,"Mùi thơm thịt bò áp chảo, thoảng mùi tiêu, hành tây sống","160,000",2-3 người
26,MÓN GỎI,Gỏi mực chua cay,"Mực luộc chín vừa, cắt khoanh; trộn với hành tây, cà rốt, rau răm, ớt và nước mắm pha chua ngọt.","Mực tươi, hành tây, cà rốt, rau răm, ớt, nước mắm – chanh – đường.","Đồ chua, cay, ngọt","Mùi cay nồng của ớt, rau răm","160,000",2-3 người
27,MÓN GỎI,Gỏi cuốn tôm thịt,"Tôm luộc bóc vỏ, thịt heo ba chỉ luộc thái mỏng, cuốn chung với bún, rau thơm và bánh tráng mỏng","Tôm, thịt heo, bún, rau sống, bánh tráng","Đồ chua, ngọt nhẹ","Rau thơm và thịt, tôm luộc","150,000",2-3 người
28,MÓN GỎI,Gỏi dưa leo tôm khô,"Dưa leo bào sợi, trộn cùng tôm khô đã ngâm mềm, hành phi, rau thơm và nước mắm pha chua ngọt.","Dưa leo, tôm khô, hành phi, rau thơm",Đồ chua ngọt,"Tôm khô, hành phi vàng giòn, rau thơm","150,000",2-3 người
29,MÓN GỎI,Gỏi tôm sốt thái,Tôm (sống hoặc chín) trộn cùng nước sốt Thái (chua cay mặn ngọn),"Tôm tươi, ớt, chanh, nước sốt thái, xoài xanh",Đồ chua cay,Vị ngọt của tôm và nước sốt thái cay nồng,"175,000",2-3 người
30,MÓN GỎI,Gỏi gà bắp chuối,"Thịt gà xé nhỏ, trộn với bắp chuối bào sợi, rau thơm, hành phi, lạc rang và nước mắm chua ngọt.","Thịt gà, bắp chuối, rau thơm, đậu phộng",Đồ chua ngọt,"Thịt gà, hành phi, rau thơm","160,000",2-3 người
31,MÓN GỎI,Gỏi xoài tôm khô,"Xoài xanh bào sợi, trộn với tôm khô rang, rau răm, ớt, đậu phộng rang và nước mắm chua ngọt.","Xoài xanh, tôm khô, đậu phổng",Đồ chua ngọt,"Mùi tôm khô, rau răm, đậu phộng rang","160,000",2-3 người
32,MÓN GỎI,Gỏi ngó sen tôm thịt,"Ngó sen chẻ nhỏ, trộn cùng tôm luộc, thịt ba chỉ, cà rốt, hành tây, rau răm và nước mắm chua ngọt.","Ngó sen, tôm, thịt ba chỉ, rau răm",Đồ chua ngọt,"Hành phi giòn, rau răm, tôm thịt luộc","160,000",2-3 người
33,MÓN GỎI,Gỏi cuốn bò áp chảo,"Bò thái lát mỏng, ướp gia vị rồi áp chảo, cuốn với bún, rau sống và bánh tráng mỏng. Ăn kèm nước chấm chua ngọt hoặc sốt tương","Thịt bò, bánh tráng, bún, rau sống",Đồ mặn,"Thịt bò áp chảo, rau thơm","160,000",2-3 người
34,MÓN THỊT,Thịt kho tiêu,"Thịt heo thái miếng vừa, ướp nước mắm, đường, tiêu rồi kho đến khi thấm gia vị","Thịt heo, nước mắm, đường, tiêu",Đồ mặn,"Mùi tiêu xay dậy lên trong nước kho, thơm nồng ấm.","150,000",2-3 người
35,MÓN THỊT,Thịt kho trứng,"Thịt ba rọi cắt miếng, ướp nước mắm, đường, kho chung với trứng vịt hoặc trứng cút cho đến khi thấm màu và mềm","Thịt ba rọi, trứng vịt, nước mắm, đường",Đồ mặn,"Thịt ba rọi kho, nước mắm","145,000",2-3 người
36,MÓN THỊT,Ba rọi cháy cạnh,"Ba rọi chiên áp cảo cho cạnh vàng giòn. Thêm gia vị mắm, đường, tiêu","Thịt ba rọi, nước mắm, đường, tiêu",Đồ mặn,"Thịt cháy cạnh thơm lừng, quyện mùi mắm","150,000",2-3 người
37,MÓN THỊT,Thịt luộc cà pháo mắm tôm,"Thịt ba rọi luộc chín, thái lát mỏng, ăn kèm cà pháo muối chua giòn và mắm tôm pha chanh, đường, ớt.","Thịt ba rọi, cà pháo muối, mắm tôm",Đồ mặn,"Thịt luộc, mùi đặc trưng của mắm tôm trộn cùng chanh ớt, hành phi","150,000",2-3 người
38,MÓN THỊT,Mắm chưng,"Thịt ba rọi băm nhỏ, trộn chung với mắm. Ăn kèm rau sống","Thịt ba rọi, mắm cá, ớt, sả, rau sống ăn kèm",Đồ mặn,Hương mắm kho đặc trưng,"135,000",2-3 người
39,MÓN THỊT,Ba rọi mắm ruốc,"Thịt ba rọi xào hoặc rim với mắm ruốc, thêm sả, ớt để khử mùi và tạo vị","Thịt ba rọi, mắm ruốc, sả, ớt",Đồ mặn,"Mùi mắm ruốc quyện với sả ớt, thơm nồng đặc trưng miền Trung","150,000",2-3 người
40,MÓN THỊT,Ba rọi rim dừa,Ba rọi kho/rim với nước dừa tươi,"Thịt ba rọi, nước dừa, nước mắm, đường",Đồ mặn,"Vị mặn ngọt của nước dừa rim, thịt ba rọi đẫm sốt","150,000",2-3 người
41,MÓN CÁ,Cá lóc kho tộ,"Cá lóc cắt khúc, ướp mắm, tiêu, đường, kho trong nồi đất đến khi thấm vị","Cá lóc, nước mắm, đường, tiêu, hành tỏi",Đồ mặn,Mùi nước mắm kho quyện cùng với thịt cá,"140,000",2-3 người
42,MÓN CÁ,Cá basa kho tộ,"Cá basa béo, kho cùng nước mắm, đường, tiêu đến khi nước sánh","Cá basa, nước mắm, đường, tiêu",Đồ mặn,"Thịt cá basa quyện tiêu, nước mắm kho","140,000",2-3 người
43,MÓN CÁ,Cá thu kho tộ,"Cá thu cắt khoanh, ướp gia vị, kho trong nồi đất cho săn","Cá thu, nước mắm, đường, tiêu",Đồ mặn,Cá thu kho,"170,000",2-3 người
44,MÓN CÁ,Cá trứng chiên mắm me,"Cá trứng chiên giòn, chan sốt me chua ngọt mặn cay","Cá trứng, me, đường, ớt, nước mắm","Đồ béo, mặn, chua ngọt","Cá trứng chiên, nước mắm me chua ngọt","160,000",2-3 người
45,MÓN CÁ,Cá bống trứng kho tiêu,Cá bống trứng kho tiêu,"Cá bống trứng, nước mắm, đường, tiêu",Đồ mặn,Cá bống kho,"170,000",2-3 người
46,MÓN CÁ,Cá bớp kho tộ,"Cá bớp cắt khúc, kho nước mắm đường, thêm hành tỏi và tiêu","Cá bớp, nước mắm, đường, tiêu, hành tỏi",Đồ mặn,Cá bớp kho,"175,000",2-3 người
47,MÓN CÁ,Cá trê chiên mắm xoài,"Cá trê chiên giòn, rưới sốt mắm pha xoài băm chua ngọt","Cá trê, xoài xanh, nước mắm, đường, ớt","Đồ béo, mặn ngọt","Cá trê chiên giòn, nước mắm xoài xanh","150,000",2-3 người
48,MÓN CÁ,Cá diêu hồng chiên xù cuốn bánh tráng,"Cá diêu hồng chiên xù nguyên con, ăn kèm bánh tráng, bún và rau sống, chấm nước mắm chua ngọt","Cá diêu hồng, bánh tráng, rau sống, nước mắm chua ngọt","Đồ mặn, chua ngọt","Cá chiên giòn, rau thơm, nước mắm tỏi ớt","220,000",2-3 người
49,MÓN CÁ,Cá sặc trộn xoài,"Cá sặc phơi khô chiên giòn, xé nhỏ, trộn với xoài xanh bào, rau thơm, nước mắm chua ngọt","Cá sặc khô, xoài xanh, rau răm, ớt","Đồ béo, mặn ngọt","Cá chiên thơm, rau răm, thoang thoảng mùi xoài xanh","150,000",2-3 người
50,MÓN CÁ,Mắm kho miền Tây,"Mắm miền tây nấu với nước, thêm thịt ba rọi, tôm, cà tím, rau ăn kèm (rau đắng, bông súng, rau muống…)","Mắm cá linh/cá sặc, thịt ba rọi, tôm",Đồ mặn,Hương mắm kho nồng nàng,"150,000",2-3 người
51,MÓN CÁ,Cá thu chiên mắm xoài,"Cá thu cắt khoanh chiên vàng, rưới sốt mắm xoài chua ngọt cay","Cá thu, xoài xanh, nước mắm, ớt","Đồ béo, mặn, chua ngọt","Cá chiên thơm, nước mắm xoài cay nồng","170,000",2-3 người
52,MÓN CÁ,Cá ngừ kho thơm,"Cá ngừ kho cùng thơm (dứa), hành tỏi, gia vị mắm đường.","Cá ngừ, thơm, nước mắm, hành tỏi",Đồ mặn,"Cá ngừ kho, thơm","150,000",2-3 người
53,MÓN CÁ,Cá nục kho khô,"Cá nục kho liu riu với mắm, đường, tiêu đến khi cạn sệt","Cá nục, măng chua, nước mắm, ớt",Đồ mặn,"Cá nục kho, tiêu","150,000",2-3 người
54,MÓN CÁ,Cá nục kho măng,"Cá nục kho cùng măng chua, gia vị mắm, đường, ớt","Cá nục, măng chua, nước mắm, ớt",Đồ mặn,Cá nục kho cùng với măng,"150,000",2-3 người
55,MÓN CÁ,Cá điêu hồng chiên sốt cà,"Cá điêu hồng chiên vàng, rưới sốt cà chua xào hành tỏi","Cá điêu hồng, cà chua, hành tỏi","Đồ mặn, chua ngọt",Cá điêu hồng chiên sốt cà,"150,000",2-3 người
56,MÓN CÁ,Cá thu sốt cà,"Cá thu cắt khoanh, chiên sơ, rim cùng sốt cà chua","Cá thu, cà chua, hành tỏi","Đồ mặn, chua ngọt",Cá thu sốt cà,"175,000",2-3 người
57,CÁC LOẠI KHÔ,Khô cá đù,Khô cá đù chiên,Khô cá đù,"Đồ béo, mặn",Khô cá đù,"150,000",2-3 người
58,CÁC LOẠI KHÔ,Khô cá dứa,Khô cá dứa chiên,Khô cá dứa,"Đồ béo, mặn",Khô cá dứa,"150,000",2-3 người
59,CÁC LOẠI KHÔ,Khô cá lóc,Khô cá lóc chiên,Khô cá lóc,"Đồ béo, mặn",Khô cá lóc,"150,000",2-3 người
60,MÓN TÔM & MỰC,Mực chiên giòn,"Mực tẩm bột, chiên vàng giòn","Mực, bột chiên",Đồ béo,"Mực tươi, bột chiên","190,000",2-3 người
61,MÓN TÔM & MỰC,Mực xào chua ngọt,"Mực xào cùng ớt chuông, dứa, hành tây","Mực, dứa, ớt chuông","Đồ mặn, chua nhẹ","Mực tươi, ớt chuông, dứa","175,000",2-3 người
62,MÓN TÔM & MỰC,Mực ống nhồi thịt,Mực nhồi thịt băm rồi chiên vàng,"Mực ống, thịt heo băm",Đồ mặn,"Mực tươi, thịt heo","220,000",2-3 người
63,MÓN TÔM & MỰC,Mực chiên nước mắm,"Mực chiên giòn, sốt nước mắm tỏi ớt","Mực, nước mắm, tỏi",Đồ mặn,"Nước mắm, mực tươi","185,000",2-3 người
64,MÓN TÔM & MỰC,Mực trứng hấp gừng,Mực trứng hấp cùng gừng và hành,"Mực trứng, gừng, hành lá",Đồ hấp,Mực trứng,"210,000",2-3 người
65,MÓN TÔM & MỰC,Tôm rim mặn,"Tôm rim cùng nước mắm, đường","Tôm, nước mắm",Đồ mặn,"Tôm, nước mắm, tiêu","165,000",2-3 người
66,MÓN TÔM & MỰC,Tôm rim,"Tôm rim đường, nước màu","Tôm, đường, hành","Đồ mặn, ngọt nhẹ",Tôm rim,"150,000",2-3 người
67,MÓN TÔM & MỰC,Tép rong rang khế,Tép nhỏ rang khô với khế chua,"Tép rong, khế chua","Đồ mặn, chua nhẹ","Tép rang, khế","165,000",2-3 người
68,MÓN TÔM & MỰC,Tôm rang muối cay,"Tôm chiên giòn, rang muối ớt","Tôm, muối, ớt","Đồ mặn, cay nhẹ","Tôm, muối rang, ớt","190,000",2-3 người
69,MÓN SƯỜN & ĐẬU HŨ,Sườn xào chua ngọt,"Sườn non chiên vàng, xào chua ngọt","Sườn heo, dứa, ớt chuông","Đồ mặn, chua nhẹ","Sườn heo, ớt chuông, dứa","175,000",2-3 người
70,MÓN SƯỜN & ĐẬU HŨ,Sườn ram mặn,"Sườn ram với nước mắm, đường","Sườn heo, nước mắm","Đồ mặn, ngọt nhẹ","Sườn heo, nước mắm, tiêu","150,000",2-3 người
71,MÓN SƯỜN & ĐẬU HŨ,Sườn cọng chiên muối ớt,"Sườn chiên giòn, rang muối ớt","Sườn cọng, muối ớt","Đồ mặn, cay nhẹ","Sườn, ớt","205,000",2-3 người
72,MÓN SƯỜN & ĐẬU HŨ,Đậu hủ nhồi thịt sốt cà,"Đậu hủ nhồi thịt chiên, sốt cà chua","Đậu hủ, thịt heo băm, cà chua","Món mặn, chua ngọt nhẹ","Cà chua chín, đậu hủ chiên","165,000",2-3 người
73,MÓN SƯỜN & ĐẬU HŨ,Đậu hủ chiên giòn chấm mắm tôm,"Đậu hủ chiên vàng giòn, chấm mắm tôm","Đậu hủ, mắm tôm","Đồ mặn, béo nhẹ","Đậu hủ, mắm tôm","120,000",2-3 người
74,"MÓN GÀ, VỊT & TRỨNG",Gà tre hấp mắm nhĩ,"Gà tre làm sạch, hấp cách thủy với mắm nhĩ nguyên chất, ăn kèm rau răm hoặc lá chanh","Gà tre, mắm nhĩ, rau răm, lá chanh",Đồ mặn,"Thịt gà ngọt, lớp da thơm nồng mùi mắm nhĩ","375,000",3-4 người
75,"MÓN GÀ, VỊT & TRỨNG",Gà kho gừng,"Gà chặt miếng, ướp mắm, đường, kho cùng gừng thái sợi","Gà, gừng, nước mắm",Đồ mặn,Gà kho gừng nồng ấm,"150,000",2-3 người
76,"MÓN GÀ, VỊT & TRỨNG",Gà sả ớt,"Gà chặt nhỏ, xào/kho với sả băm, ớt và gia vị","Gà, sả, ớt, nước mắm",Đồ mặn,"Gà kho đậm mùi sả băm, thơm nồng mùi ớt","150,000",2-3 người
77,"MÓN GÀ, VỊT & TRỨNG",Cánh gà chiên nước mắm,"Cánh gà chiên vàng, sau đó áo sốt mắm đường","Cánh gà, nước mắm, đường, tỏi","Đồ béo, mặn, chua ngọt","Mùi nước mắm chiên, tỏi phi","150,000",2-3 người
78,"MÓN GÀ, VỊT & TRỨNG",Vịt kho gừng,"Thịt vịt chặt khúc, kho cùng gừng, mắm, đường cho săn","Vịt, gừng, mắm, đường",Đồ mặn,"Gừng nồng, mùi vịt kho dậy mùi","155,000",2-3 người
79,"MÓN GÀ, VỊT & TRỨNG",Trứng chiên thịt,"Trứng gà đánh tan, trộn thịt băm, nêm gia vị, chiên vàng","Trứng gà, thịt ba chỉ băm","Đồ béo, mặn","Trứng chiên vàng thơm, hành lá","120,000",2-3 người
80,"MÓN GÀ, VỊT & TRỨNG",Trứng chiên hến,"Trứng đánh tan, trộn hến xào sơ, chiên vàng","Trứng gà, hến","Đồ béo, mặn","Trứng thơm, thoang thoảng vị hến","135,000",2-3 người
81,"MÓN GÀ, VỊT & TRỨNG",Trứng chiên cà chua,Trứng chiên cùng cà chua thái hạt lựu hoặc xào cà chua trước rồi rưới trứng,"Trứng, cà chua","Đồ béo, mặn ngọt","Trứng chiên quyện sốt cà, mùi hành lá","120,000",2-3 người
82,"MÓN GÀ, VỊT & TRỨNG",Trứng chiên hành,"Trứng đánh tan, trộn hành lá thái nhỏ, chiên vàng","Trứng, hành lá","Đồ béo, mặn",Hành lá quyện trứng chiên,"110,000",2-3 người
83,MÓN XÀO,Bò xào rau muống,"Thịt bò ướp tỏi, xào nhanh với rau muống chần sơ","Thịt bò, rau giòn xào",Đồ mặn,"Thịt bò, rau muống","150,000",2-3 người
84,MÓN XÀO,Bò xào bí nụ,"Bò xào cùng hoa bí non, nêm gia vị vừa ăn","Thịt bò, hoa bí",Đồ mặn,"Tỏi phi, mùi hoa bí non","150,000",2-3 người
85,MÓN XÀO,Bò xào cải thìa,"Thịt bò xào cải thìa cắt khúc, nêm gia v","Thịt bò, cải thìa",Đồ mặn,"Tỏi phi, rau cải","120,000",2-3 người
86,MÓN XÀO,Đọt su xào bò,Đọt su xào nhanh với thịt bò ướp tỏi,"Thịt bò, đọt su su, tỏi",Đồ mặn,"Tỏi phi, rau su su","150,000",2-3 người
87,MÓN XÀO,Bò xào cải ngồng,"Cải ngồng cắt khúc, xào nhanh với thịt bò","Bò, cải ngồng, tỏi",Đồ mặn,"Tỏi phi, mùi cải ngồng đặc trưng.","150,000",2-3 người
88,MÓN XÀO,Bò xào hành cần,"Thịt bò xào cùng hành tây, cần tây cắt khúc","Bò, hành tây, cần tây, tỏi",Đồ mặn,"Thịt bò, hành tây, tỏi phi","150,000",2-3 người
89,MÓN XÀO,Cải bó xôi xào bò,"Bò xào nhanh với cải bó xôi, nêm gia vị vừa","Bò, cải bó xôi, tỏi",Đồ mặn,"Tỏi phi, cải bó xôi chín","150,000",2-3 người
90,MÓN XÀO,Bông hẹ xào bò,Bông hẹ non xào nhanh với thịt bò,"Bò, bông hẹ, tỏi",Đồ mặn,"Tỏi phi, mùi bông hẹ thoang thoảng hăng nhẹ","150,000",2-3 người
91,MÓN RAU,Cải thìa xào nấm đông cô,"Nấm đông cô ngâm mềm, xào cùng cải thìa với dầu hào","Cải thìa, nấm đông cô",Đồ mặn,"Nấm đặc trưng, thoang thoảng dầu hào","130,000",2-3 người
92,MÓN RAU,Rau luộc thập cẩm kho quẹt,"Các loại rau luộc chín vừa, chấm kho quẹt tôm khô","Rau củ (rau muống, bầu, cà rốt, đậu bắp…), kho quẹt",Đồ mặn,"Tôm khô, tiêu, tóp mỡ","130,000",2-3 người
93,MÓN RAU,Cải ngồng xào dầu hào,"Rau xào nhanh lửa lớn, nêm dầu hào","Cải ngồng, dầu hào",Đồ mặn,"Dầu hào, tỏi phi","115,000",2-3 người
94,MÓN RAU,Khổ qua xào trứng,Khổ qua cắt lát xào cùng trứng đánh,"Khổ qua, trứng gà",Đồ mặn,"Trứng xào, khổ qua","115,000",2-3 người
95,MÓN RAU,Nụ bí xào tỏi,"Khổ qua, trứng gà","Nụ bí, tỏi",Đồ mặn,"Khổ qua, trứng béo","115,000",2-3 người
96,MÓN RAU,Rau muống xào tỏi,Rau muống xào nhanh lửa lớn với tỏi,"Rau muống, tỏi",Đồ mặn,"Rau muống, tỏi","115,000",2-3 người
97,MÓN RAU,Đọt su xào tỏi,"Đọt su giòn non, xào cùng tỏi","Đọt su, tỏi",Đồ mặn,"Đọt su, tỏi","115,000",2-3 người
98,MÓN RAU,Cải bó xôi xào tỏi,Rau xào nhanh giữ màu xanh,"Cải bó xôi, tỏi",Đồ mặn,Thơm mùi tỏi,"115,000",2-3 người
99,MÓN RAU,Đậu bắp luộc chấm chao,"Đậu bắp luộc, chấm với chao","Đậu bắp, chao",Đồ mặn,"Chao nồng, thoang thoảng tỏi","115,000",2-3 người
100,MÓN RAU,Rau muống xào chao,Rau muống xào chao đỏ,"Rau muống, chao, tỏi",Đồ mặn,"Chao nồng, thoang thoảng tỏi","115,000",2-3 người
101,MÓN RAU,Bông hẹ xào tỏi,Bông hẹ xào chín tới với tỏ,"Bông hẹ, tỏi",Đồ mặn,"Tỏi phi, hẹ non","115,000",2-3 người
102,MÓN CANH,Canh diêu hồng nấu ngót,"Cá diêu hồng nấu với cà chua, thì là, cần tàu","Cá diêu hồng, cà chua, rau thơm",Đồ mặn,"Thì là, cần tàu","150,000",3-4 người
103,MÓN CANH,Canh cá bóp măng chua,"Cá bóp nấu măng chua, cà chua, me","Cá bóp, măng chua",Đồ mặn,"Măng chua, thịt cá ngọt, ngò gai","195,000",3-4 người
104,MÓN CANH,Canh tần ô cá thác lác/ thịt bằm,Cá thác lác quết hoặc thịt bằm nấu với rau tần ô,"Tần ô, cá thác lác/thịt bằm",Đồ mặn,"Tần ô thơm, ngọt thanh","150,000",3-4 người
105,MÓN CANH,Canh chua cá hú,"Cá hú nấu với bạc hà, cà chua, me chua","Cá hú, rau canh chua",Đồ mặn chua ngọt,"Cá hú, ngò om, ngò gai","150,000",3-4 người
106,LẨU,Lẩu cá thì là,"Cá nấu lẩu với cà chua, thì là, hành","Cá, thì là",Đồ mặn chua ngọt,Thì là nổi bật,"480,000",4-5 người
107,LẨU,Lẩu cá thác lác,Cá thác lác quết thả vào nồi lẩu rau,"Cá thác lác, rau các loại",Đồ mặn chua ngọt,"Rau thơm, thì là","480,000",4-5 người
108,LẨU,Lẩu cua đồng,"Cua đồng nấu riêu, ăn cùng rau sống","Cua đồng, rau","Đồ ngọt béo, hơi chua","Gạch cua, hành phi","490,000",4-5 người
109,LẨU,Lẩu ếch lá giang,"Ếch xào sơ, nấu lẩu với lá giang","Thịt ếch, lá giang","Đồ mặn, chua","Lá giang, sả","480,000",4-5 người
110,LẨU,Lẩu cá bớp,Cá bớp nấu lẩu chua ngọt với rau,"Cá bớp, cà chua, me",Đồ mặn,"Rau om, cần tàu","490,000",4-5 người
111,LẨU,Lẩu mắm,Cá bớp nấu lẩu chua ngọt với rau,"Mắm, cá, rau sống miền Tây",Đồ mặn,"Mắm cá, sả, ớt","490,000",4-5 người
112,LẨU,Lẩu Dượng Bầu,"Lẩu cá linh, cá lóc… với bông điên điển, rau đồng","Cá đồng, rau bông mùa nước nổi",Đồ mặn,"Rau đồng, mắm ruốc nhẹ","490,000",4-5 người
113,TRÁNG MIỆNG,Chè đậu xanh đánh,"Đậu xanh nấu chín, đánh nhuyễn với đường, có thể thêm nước cốt dừa","Đậu xanh, đường, nước cốt dừa","Đồ béo, ngọt","Đậu xanh, dừa","55,000",1 người
114,TRÁNG MIỆNG,Sương sa sương sáo hột é,"Sương sa, sương sáo cắt miếng, trộn với hột é, đường, đá lạnh","Sương sa, sương sáo, hột é","Đồ béo, ngọt","Hương lá sương sáo, nước đường, hột é","55,000",1 người
115,TRÁNG MIỆNG,Sương sa hạt lựu,"Hạt lựu (bột lọc nhuộm màu) luộc, ăn cùng sương sa và nước đường","Hạt lựu bột lọc, sương sa","Đồ béo, ngọt","Nước đường, lá dứa","55,000",1 người
116,NƯỚC MÁT NHÀ LÀM,Củ sen,"Củ sen tươi nấu với đường phèn, có thể thêm nhãn nhục","Củ sen, đường phèn",Đồ ngọt,"Sen, thoang thoảng nhãn nhục","28,000",1 người
117,NƯỚC MÁT NHÀ LÀM,Trà hoa cúc mật ong,"Hoa cúc khô hãm trà, pha mật ong","Hoa cúc, mật ong",Đồ ngọt,Hoa cúc thanh mát,"39,000",1 người
118,NƯỚC MÁT NHÀ LÀM,Nước sâm,"Các loại thảo mộc (mía lau, rễ tranh, la hán quả…) nấu lấy nước","Thảo mộc, mía lau",Đồ ngọt,"Thảo mộc nhẹ, mía lau","28,000",1 người
119,NƯỚC MÁT NHÀ LÀM,Trà tắc,"Nước trà xanh, pha với tắc, đường","Trà, tắc",Đồ ngọt,Mùi trà và tắc,"39,000",1 người
